"more presumptious","pió presuntuoso"
"uncle","zio"
"Weave yarn into cloth","Tessi gomitolo in stoffa"
"Sheets","Schede"
"Now that you have the building materials it's time to start building.  ","Ora che hai i materiali da costruzione ä il momento d'iniziare a costruire.  "
"incompletely performing the rites of ","eseguendo in modo incompleto i riti di "
"the Reunion","la Riunione"
"pray to hf","preghiera a hf"
"Rain Mesh Size","Dimensione Mesh Pioggia"
"this temple","questo tempio"
"Weep","Piangere"
"the Equation","l'Equazione"
"Plot","Appezzamento"
"well","pió che bene"
"woven ","tessuto "
"confront","confronta"
"Minuscule Profile","Profilo minuscolo"
" as "," come "
"Anger-prone","Incline alla rabbia"
"I hear that a group from ","Ho sentito che un gruppo di "
"Treasury","Tesoreria"
"divorced","ha divorziato da"
"Display water and magma depth numerically (1 to 7.)","Visualizza la profonditÖ d'acqua e magma in modo numerico (da 1 a 7)."
"castle wall","muro del castello"
"Join me and we can shake off the yoke of ","Unisciti a me e scrolliamoci di dosso il giogo di "
" head"," testa"
"looted treasure and seized livestock from","saccheggiato il tesoro e sequestrato il bestiame da"
"Noted brigand","Noto brigante"
"forty","quaranta"
"Horseplay","Gioco sfrenato"
"Loud vocalization","Voce forte"
" has returned"," ä tornato"
" outmanuevered "," vinto in abilitÖ "
"Overall, this is a good source of information","Nel complesso si tratta di una buona fonte d'informazioni"
"small-irised","piccole iridi"
"Recommended size.","Dimensione consigliata."
"adhesives","adesivi"
"Engrave memorial slab","Incidi lastra commemorativa"
"glaze ","smalto "
" saw the sun and vomited on the spot!"," ha visto il sole e ha vomitato sul posto!"
"the rebuilding of ","la ricostruzione di "
"Open air (remembered)","All'aperto (ricordato)"
" twisting"," contorcendo"
"the Alembic","l'Alambicco"
"communing with ","in comunione con "
"Procession","Processione"
"Make sure to leave the ceiling above intact so the underground soil doesn't receive any sunlight.","Assicurati di lasciare intatto il soffitto sovrastante in modo che il suolo sotterraneo non riceva luce solare."
"philosophy:metaphysics:mind body","filosofia:metafisica:mente corpo"
"Something has unchained a creature!","Qualcuno ha liberato questa creatura!"
", weapon",", arma"
"turning clockwise","ruotando in senso orario"
"Beds in common area: ","Letti in area comune: "
"is completely serious","ä serissimo"
", no matter how major the help or how much ",", non importa quanto grande sia l'aiuto o quanto "
"We checked that stone for heat!  What devilry is this?!","Abbiamo controllato che la pietra fosse calda!  Che diavoleria ä questa?!"
"Loading occupations...","Caricamento delle occupazioni..."
"Designate an item for melting at any smelter.","Marca un oggetto da fondere in qualsiasi fonderia."
" works to square this natural tendency with "," lavora per far quadrare questa tendenza naturale con "
"a good feel for social relationships","una buona sensibilitÖ per i rapporti sociali"
"being intellectually stubborn","essere intellettualmente testardi"
"Logician","Logico"
"Claim toppled building items","Reclama oggetti dell'edificio crollato"
" Deep"," Profondo"
"inflicts excruciating pain upon","infligge un dolore atroce a"
"uses mordents","usa mordenti"
"a horribly substandard bedroom","una camera da letto orribilmente scadente"
"Use any cloth","Usa qualsiasi stoffa"
"the missing treasure","il tesoro perduto"
"believes that martial prowess defines the good character of an individual","crede che l'abilitÖ marziale definisca il buon carattere di un individuo"
"The three main methods of defending are dodging, parrying, and blocking.  If a strike is barely dodged, the defender may have no ","I tre metodi principali di difesa sono schivare, parare e bloccare. Se un colpo viene schivato per un soffio, il difensore potrebbe non avere "
"is reasonably serious","ä ragionevolmente grave"
" composure.]"," calma.]"
"Violation of export prohibition","Violazione del divieto di esportazione"
" due to the presence of an existing rider."," a causa della presenza di un cavaliere esistente."
"Sheet ","Strato "
"cut clear glass gems","gemme di vetro chiaro tagliate"
"Such jubilation I feel!","Sono pieno di giubilo!"
"the Funnel","l'Imbuto"
"Strive for power.","Cercare il potere."
"sang","cantata"
"insane","folle"
"Last track: ","Ultima traccia: "
"skeletal ","scheletrico "
"Recognize priesthood","Riconosci il sacerdozio"
"ladies consort","signore consorti"
"A performance","Un'esibizione"
"I was out visiting the temple.","Ero in visita al tempio."
"Disdains merriment","Disdegna la baldoria"
"Newer compatible version of mod detected:","Rilevata versione pió recente e compatibile della mod:"
" loudly percussive"," fortemente percussivo"
" is nervous, "," ä nervoso, "
"Fish","Pesce"
"millstone","macina"
"Desert region count fails by ","Il conteggio finale delle regioni di deserto fallisce per "
"Push/Haul Vehicles","Veicoli a spinta/trasporto"
"a procession held by ","una processione tenuta da "
"spurning the truth","ignorando la veritÖ"
"The lyrics of the accompaniment are so funny!","Il testo dell'accompagnamento ä cosç divertente!"
"perform with a light touch","eseguire con un tocco leggero"
"How are you, my ","Come stai, mio "
"*START REGION GEOLOGY SAVE*","*AVVIO SALV GEOLOGIA REGIONE*"
"I'm free.","Sono libero."
"lousy creativity","scadente creativitÖ"
"Vertical Bars","Sbarre verticali"
"Everything is coming apart!","Tutto sta andando a pezzi!"
"Grains of Sand","Granelli di sabbia"
"HATCH USED BY INTRUDER","BOTOLA UTILIZZATA DALL'INTRUSO"
"Saw that the object was disturbed.","Ha visto che l'oggetto era disturbato."
" concocted by "," escogitato da "
"Please guide me to you.","Per favore guidami verso di te."
"throne rooms/studies.","sale del trono/studi."
"I'm with you on this.","Sono d'accordo con te."
" admiring "," ammirando "
"Water Hauling","Trasporto d'acqua"
" but the shot is "," ma il colpo ä "
"untitled ","senza titolo "
"the moon and tides","la luna e le maree"
"more bashful","pió timido"
"Gathered [C:6:0:1]Silk[C:7:0:0] can go directly to the [C:6:0:0]Loom[C:7:0:0].","La [C:6:0:1]Seta[C:7:0:0] raccolta puï passare direttamente al [C:6:0:0]Telaio[C:7:0:0]."
"Thank you for returning this primordial remnant to ","Grazie per aver restituito questo residuo primordiale a "
"If a crime involves a conspiracy, an interrogation may reveal the plot.","Se un crimine implica una cospirazione, un interrogatorio potrebbe rivelarne la trama."
" dislikes this sort of concealment in the abstract"," detesta questo tipo di occultamento in astratto"
"1 witness","1 testimone"
"Rooms with multiple beds","Camere con pió letti"
"A sadistic ghost.","Un fantasma sadico."
"I hate it.","Lo odio."
"the crushing of the insurrection against ","la repressione dell'insurrezione contro "
"I'm beat.","Sono distrutto."
"processable (to barrel) ","lavorabile (in botte) "
"thread","filo"
"having a request ignored","avere una richiesta ignorata"
"porcupine","porcospino"
"Set a restricted traffic area.  Citizens will look hard for better routes.  They will still use the area if other routes do not exist or are too long.","Stabilisci una zona a traffico limitato.  I cittadini cercheranno con insistenza percorsi migliori.  Utilizzeranno comunque l'area se altri percorsi non esistono o sono troppo lunghi."
"Max Semimegabeast Caves","Max Grotte di Semimegabestia"
"  We can no longer pay them homage.","  Non possiamo pió rendere loro omaggio."
"Check date","Controlla data"
" theme"," tema"
" plotted to sabotage the activities of "," ha complottato per sabotare le attivitÖ di "
" created by an unknown artisan"," creato da un artigiano sconosciuto"
"a very poor bedroom","una camera da letto molto povera"
"SMALLER ISLAND","ISOLA MINORE"
"Merciful","Clemente"
"How unreasonable!","Che irragionevolezza!"
"bodies","corpi"
"upper body","parte superiore del corpo"
"upper bodies","arti superiori"
"lower body","arti inferiori"
"lower bodies","arti inferiori"
"right upper arm","braccio superiore destro"
"left upper arm","braccio superiore sinistro"
"right lower arm","braccio inferiore destro"
"left lower arm","braccio inferiore sinistro"
"right hand","mano destra"
"left hand","mano sinistra"
"right upper leg","gamba superiore destra"
"left upper leg","gamba superiore sinistra"
"right lower leg","gamba inferiore destra"
"left lower leg","gamba superiore sinistra"
"right foot","piede destro"
"right feet","piedi destri"
"left foot","piede sinistro"
"left feet","piedi sinistri"
"right front leg","gamba anteriore destra"
"left front leg","gamba anteriore sinistra"
"right front foot","piede anteriore destro"
"right front feet","piedi anteriori destri"
"left front foot","piede anteriore sinistro"
"left front feet","piedi anteriori sinistri"
"right rear leg","gamba posteriore destra"
"left rear leg","gamba posteriore sinistra"
"right rear foot","piede posteriore destro"
"right rear feet","piedi posteriori destri"
"left rear foot","piede posteriore sinistro"
"left rear feet","piedi posteriori sinistri"
"first neck","primo collo"
"second neck","secondo collo"
"third neck","terzo collo"
"fourth neck","quarto collo"
"fifth neck","quinto collo"
"sixth neck","sesto collo"
"seventh neck","settimo collo"
"first head","prima testa"
"second head","seconda testa"
"third head","terza testa"
"fourth head","quarta testa"
"fifth head","quinta testa"
"sixth head","sesta testa"
"seventh head","settima testa"
"neck","collo"
"right hoof","zoccolo destro"
"right hooves","zoccoli destri"
"left hoof","zoccolo sinistro"
"left hooves","zoccoli sinistri"
"right wing","ala destra"
"left wing","ala sinistra"
"first right upper arm","primo braccio superiore destro"
"first left upper arm","primo braccio superiore sinistro"
"first right lower arm","primo braccio inferiore destro"
"first left lower arm","primo braccio inferiore sinistro"
"first right hand","prima mano destra"
"first left hand","prima mano sinistra"
"second right upper arm","secondo braccio superiore destro"
"second left upper arm","secondo braccio superiore sinistro"
"second right lower arm","secondo braccio inferiore destro"
"second left lower arm","secondo braccio inferiore sinistro"
"second right hand","seconda mano destra"
"second left hand","seconda mano sinistra"
"third right upper arm","terzo braccio superiore destro"
"third left upper arm","terzo braccio superiore sinistro"
"third right lower arm","terzo braccio inferiore destro"
"third left lower arm","terzo braccio inferiore sinistro"
"third right hand","terza mano destra"
"third left hand","terza mano sinistra"
"right head","testa destra"
"left head","testa sinistra"
"right neck","collo destro"
"left neck","collo sinistro"
"right arm","braccio destro"
"left arm","braccio sinistro"
"right leg","gamba destra"
"left leg","gamba sinistra"
"right front hoof","zoccolo anteriore destro"
"right front hooves","zoccoli anteriori destri"
"left front hoof","zoccolo anteriore sinistro"
"left front hooves","zoccoli anteriori sinistri"
"right rear hoof","zoccolo posteriore destro"
"right rear hooves","zoccoli posteriori destri"
"left rear hoof","zoccolo posteriore sinistro"
"left rear hooves","zoccoli posteriori sinistri"
"thorax","torace"
"thoraxes","toraci"
"abdomen","addome"
"right first leg","prima gamba destra"
"left first leg","prima gamba sinistra"
"right first foot","primo piede destro"
"right first feet","primi piedi destri"
"left first foot","primo piede sinistro"
"left first feet","primi piedi sinistri"
"right second leg","seconda gamba destra"
"left second leg","seconda gamba sinistra"
"right second foot","secondo piede destro"
"right second feet","secondi piedi destri"
