"more presumptious","더 주제넘은"
"A great slug with the torso of a man.  It pulls itself across the ground with its hands for greater speed.","사람만한 몸통을 가진 큰 민달팽이. 더 빠른 속도를 위해 손으로 땅을 기어갑니다."
"giant slug","거대 민달팽이"
"giant slugs","거대 민달팽이들"
"A huge monster in the form of a slug.","민달팽이의 모습을 한 거대한 괴수."
"A tiny pest insect.  It uses its long nose to suck blood from its host.","작은 해충. 긴 코를 이용하여 숙주의 피를 빨아 먹는다."
"mosquito","모기"
"mosquitos","모기떼"
"high-pitched buzz","고음의 윙윙거리는 소리"
"ability to feast on blood","피를 섭취하는 능력"
"mosquito man","모기인간"
"mosquito men","모기인간들"
"mosquito woman","여성 모기인간"
"mosquito women","여성 모기인간들"
"A person with the head and wings of a mosquito.","모기의 머리와 날개를 가진 인간."
"giant mosquito","거대 모기"
"giant mosquitos","거대 모기떼"
"A huge monster in the shape of a mosquito.","모기의 모습을 한 거대한 괴수."
"A tiny black bug that lacks a web but can leap short distances.","거미줄은 없지만 짧은 거리를 뛸 수 있는 작은 검은색 벌레."
"jumping spider","껑충 거미"
"jumping spiders","껑충 거미들"
"striking appearance","매력적인 외모"
"ability to leap","뜀박질"
"jumping spider man","수컷 껑충 거미"
"jumping spider men","수컷 껑충 거미들"
"jumping spider woman","암컷 껑충 거미"
"jumping spider women","암컷 껑충 거미들"
"A person with the head and arms of a jumping spider.","깡충거미의 머리와 팔을 가진 인간."
"giant jumping spider","거대 껑충 거미"
"giant jumping spiders","거대 껑충 거미들"
"A huge monster in the form of a jumping spider.","깡충거미의 모습을 한 거대한 괴수."
"A tiny insect capable of destroying large wooden structures when in large numbers.","많은 수가 있을 때 큰 나무 구조물을 파괴할 수 있는 작은 곤충."
"termite","흰개미"
"termites","흰개미들"
"industrious nature","근면한 특성"
"ability to devour wood","나무를 먹는 능력"
"worker termite","일꾼 흰개미"
"worker termites","일꾼 흰개미들"
"soldier termite","병정 흰개미"
"soldier termites","병정 흰개미들"
"king termite","왕 흰개미"
"king termites","왕 흰개미들"
"queen termite","여왕 흰개미"
"queen termites","여왕 흰개미들"
"A tiny predatory mollusk.  It is brightly colored.","작은 포식성 연체 동물. 밝은 색칠되어 있다."
"moon snail","옆줄구슬우렁이"
"moon snails","옆줄구슬우렁이들"
"striking coloration","강렬한 색감"
"moon snail man","옆줄구슬우렁이인간"
"moon snail men","옆줄구슬우렁이인간들"
"moon snail woman","암컷 옆줄구슬우렁이인간"
"moon snail women","암컷 옆줄구슬우렁이인간들"
"A colorful person with the head and shell of a moon snail.","옆줄구슬우렁이의 머리와 껍데기를 가진 인간"
"giant moon snail","거대 옆줄구슬우렁이"
"giant moon snails","거대 옆줄구슬우렁이들"
"A huge monster in the shape of a moon snail.","구슬우렁의 모습을 한 거대한 괴수."
"A tiny brown bug known for its powerful poison.","강력한 독이 있다고 알려진 작은 갈색 벌레."
"brown recluse spider","갈색은둔거미"
"brown recluse spiders","갈색은둔거미들"
"venomous bite","독 물기"
"frozen brown recluse spider venom","얼어붙은 갈색은둔거미 독"
"brown recluse spider venom","갈색은둔거미 독"
"boiling brown recluse spider venom","기화된 갈색은둔거미 독"
"brown recluse spider bite","갈색은둔거미 물기"
"bitten","물린"
"brown recluse spider man","갈색은둔거미인간"
"brown recluse spider men","갈색은둔거미인간들"
"brown recluse spider woman","암컷 갈색은둔거미인간"
"brown recluse spider women","암컷 갈색은둔거미인간들"
"A person with the head and arms of a brown recluse spider.","갈색은둔거미의 머리와 다리를 가진 인간."
"giant brown recluse spider","거대 갈색은둔거미"
"giant brown recluse spiders","거대 갈색은둔거미들"
"A huge monster in the shape of a brown recluse spider.","갈색은둔거미의 모습을 한 거대한 괴수."
"A tiny land mollusk with a large shell.","커다란 껍데기를 가진 작은 육지 연체 동물."
"snail","달팽이"
"snails","달팽이들"
"snail man","수컷 달팽이인간"
"snail men","수컷 달팽이인간들"
"A creature with the shape of a man, but with stalks for eyes, and a great shell on its back.","사람의 모습을 한 생물체, 하지만 더듬이 같은 눈과 거대한 등껍질을 가지고 있다."
"giant snail","거대 달팽이"
"giant snails","거대 달팽이들"
"A huge monster in the form of a snail.","달팽이의 모습을 한 거대한 괴수."
"A tiny, brightly-colored lizard.","밝은 색을 가진 작은 도마뱀."
"leopard gecko","표범 도마뱀붙이"
"leopard geckos","표범 도마뱀붙이들"
"scales","비늘"
"leopard gecko man","표범 도마뱀붙이 인간"
"leopard gecko men","표범 도마뱀붙이 인간들"
"leopard gecko woman","암컷 표범 도마뱀붙이 인간"
"leopard gecko women","암컷 표범 도마뱀붙이 인간들"
"A person with the head and fingers of a gecko.","겍코의 머리와 손가락를 가진 인간."
"giant leopard gecko","거대 표범 도마뱀붙이"
"giant leopard geckos","거대 표범 도마뱀붙이들"
"A large monster in the shape of a gecko.","도마뱀붙이의 모습을 한 거대한 괴수."
"A tiny shelled reptile that lives in the desert.","사막에서 사는 작은 껍질을 가진 파충류."
"desert tortoise","사막 거북이"
"desert tortoises","사막 거북이들"
"desert tortoise hatchling","새끼 사막 거북이"
"desert tortoise hatchlings","새끼 사막 거북이들"
"desert tortoise man","사막 거북이인간"
"desert tortoise men","사막 거북이인간들"
"desert tortoise woman","암컷 사막 거북이인간"
"desert tortoise women","암컷 사막 거북이인간들"
"A reptile person with the head and tail of a desert tortoise.","사막 거북이의 머리와 꼬리를 가진 파충류 인간."
"giant desert tortoise","거대 사막 거북이"
"giant desert tortoises","거대 사막 거북이들"
"giant desert tortoise hatchling","새끼 거대 사막 거북이"
"giant desert tortoise hatchlings","새끼 거대 사막 거북이들"
"A large monster in the form of a desert tortoise.","사막거북이의 모습을 한 거대한 괴수."
"A small venomous lizard.","작은 독 도마뱀"
"gila monsters","아메리카독도마뱀들"
"gila monster venom","아메리카독도마뱀 독"
"boiling gila monster venom","기화된 아메리카독도마뱀 독"
"gila monster bite","아메리카독도마뱀 독"
"gila monster man","아메리카독도마뱀인간"
"gila monster men","아메리카독도마뱀인간들"
"gila monster woman","암컷 아메리카독도마뱀인간"
"gila monster women","암컷 아메리카독도마뱀인간들"
"A venomous person with the head and tail of a gila monster.","아메리카독도마뱀의 머리와 꼬리를 가진 독을 분비하는 인간."
"giant gila monster","거대 아메리카독도마뱀"
"giant gila monsters","거대 아메리카독도마뱀들"
"A huge beast in the form of a gila monster.","아메리카독도마뱀의 모습을 한 거대한 괴수."
"A medium-sized highly social mammalian carnivore.  It has a keen sense of smell.  It can be trained to obey commands.","중간 크기의 고도로 사회화된 육식성 포유류. 후각이 예민하며, 명령에 따르도록 훈련할 수 있다."
"dog","개"
"dogs","개들"
"canine","개의"
"puppy","강아지"
"puppies","강아지들"
"ears","귀들"
"front paws","앞발"
"rear paws","뒷발"
"A small mammalian carnivore.  It is usually domestic and hunts vermin.","작은 육식성 포유류. 그것은 보통 집에서 기르기 좋고, 해충을 사냥한다."
"cat","고양이"
"cats","고양이들"
"feline","고양이과"
"aloofness","무관심"
"kitten","새끼 고양이"
"kittens","새끼 고양이들"
"lick","핥다"
"licks","핥다"
"lick each other","서로를 핥다"
"Head bump","머리를 부딪치다"
"head-bump","머리를 부딪치다"
"head-bumps","머리를 부딪치다"
"bump heads","머리를 부딪치다"
"A compact offspring of horse and donkey, bred to be a beast of burden.","말과 당나귀의 작은 교잡종, 짐을 나르는 짐승으로 길러졌다."
"mule","노새"
"mules","노새들"
"mule foal","새끼 노새"
"mule foals","새끼 노새들"
"A medium-sized, hooved herbivore.  Some are domesticated as beasts of burden.","중간 크기의, 발굽이 있는 초식동물.  일부는 짐을 나르는 가축으로 길러집니다."
"donkeys","당나귀들"
"asinine","당나귀의"
"donkey foal","새끼 당나귀"
"donkey foals","새끼 당나귀들"
"frozen donkey's milk","얼어붙은 당나귀 젖"
"donkey's milk","당나귀젖"
"boiling donkey's milk","기화된 당나귀젖"
"donkey cheese","당나귀 치즈"
"donkey cheese powder","당나귀 치즈가루"
"melted donkey cheese","녹은 당나귀 치즈"
"boiling donkey cheese","기화된 당나귀 치즈"
"A large hooved, maned herbivore.  They can run swiftly and many are domesticated as steeds.","큰 발굽과 갈기가 달린 초식 동물. 빠르게 달릴 수 있으며 말로 길들여진다."
"horses","말들"
"equine","말과"
"horse foal","망아지"
"horse foals","망아지들"
"frozen horse's milk","얼어붙은 말젖"
"horse's milk","말젖"
"boiling horse's milk","기화된 말젖"
"horse cheese","말 치즈"
"horse cheese powder","말 치즈가루"
"melted horse cheese","녹은 말 치즈"
"boiling horse cheese","기화된 말 치즈"
"A large mammalian herbivore.  They often bear large horns and the males are ill-tempered.  They are domesticated for milk and meat.","큰 초식성 포유류. 몇몇은 뿔을 가지고 있으며 수컷은 성질이 사납다. 우유와 고기를 위해 길들여진다."
"cow","암 소"
"cows","암 소들"
"bovine","암 소"
"haunting moos","살벌한 울음소리"
"vellum","독피지"
"gore","뿔로 들이받음"
"gores","뿔로 들이받음"
"cow calf","송아지"
"cow calves","송아지들"
"frozen cow's milk","얼어붙은 우유"
"cow's milk","우유"
"boiling cow's milk","기화된 우유"
"cow cheese","소 치즈"
"cow cheese powder","소 치즈가루"
"melted cow cheese","녹은 소 치즈"
"boiling cow cheese","기화된 소 치즈"
"bulls","수 소떼"
"bull calf","수송아지"
"bull calves","수송아지들"
"A medium-sized herding animal.  It is prized for its thick wool coat.","무리지어 사는 중간 크기의 동물.  두꺼운 양털로 인해 가치있게 여겨집니다."
"ovine","양"
"lamb","새끼양"
"lambs","새끼양들"
"tendency to flock","무리지어 다니는 경향"
"wool","털"
"ewe","암 양"
"ewes","암 양떼"
"frozen sheep's milk","frozen 양젖"
"sheep's milk","양젖"
"boiling sheep's milk","boiling 양젖"
"sheep cheese","양 치즈"
"sheep cheese powder","양 치즈가루"
"melted sheep cheese","녹은 양 치즈"
"boiling sheep cheese","기화된 양 치즈"
"ram","숫 양"
"rams","숫 양떼"
"A medium-sized domestic animal.  It has a distinctive snout and corkscrew tail.  It is thought by some to be intelligent.","중간 크기의 가축입니다. 독특한 주둥이와 코르크 따개 꼬리를 갖고 있다. 일부 사람들은 그것이 똑똑하다고 생각한다."
"pig","돼지"
"pigs","돼지들"
"porcine","돼지"
"piglet","새끼 돼지"
"piglets","새끼 돼지들"
"sow","암퇘지"
"sows","암퇘지떼"
"frozen pig's milk","얼어붙은 돼지젖"
"pig's milk","돼지젖"
"boiling pig's milk","기화된 돼지젖"
"pig cheese","돼지 치즈"
"pig cheese powder","돼지 치즈가루"
"melted pig cheese","녹은 돼지 치즈"
"boiling pig cheese","기화된 돼지 치즈"
"boar","수퇘지"
"boars","수퇘지들"
"A medium-sized herding animal.  It is known for its short horns and beard.","무리지어 사는 중간 크기의 동물. 짧은 뿔과 수염으로 유명합니다."
"goats","염소들"
"hircine","염소"
"goat kid","새끼 염소"
"goat kids","새끼 염소들"
"eating habits","식습관"
"nanny goat","암 염소"
"nanny goats","암 염소들"
"frozen goat's milk","얼어붙은 염소 젖"
"goat's milk","염소젖"
