"major","comandante"
"alkali and acids"," lcali y  cidos"
"evaporation","evaporaci¢n"
"distillation","destilaci¢n"
"liquid extraction","extracci¢n de liquido "
"the alembic","el alambique"
"systematic experiments","experimentos sistem ticos"
"the crucible","el crisol"
"the funnel","el embudo"
"the vial","el frasco"
"the beaker","el vaso"
"the flask","la petaca"
"spirit of niter","esp¡ritu de la noche"
"laboratory ovens","hornos de laboratorios"
"the retort","la r‚plica"
"the ampoule","la ampolla"
"aqua regia","agua regia"
"oil of vitriol","aceite de vitriolo"
"triangulation","triangulaci¢n"
"cartography","cartograf¡a"
"the surveying staff","el personal de inspecci¢n"
"surveying","topograf¡a"
"land surveying","Agrimensura"
"distance scales","escalar distancias"
"map grids","cuadr¡culas de mapa"
"geological cartography","cartograf¡a geol¢gica"
"surveying for engineering","estudiando para ingenier¡a"
"military surveying","reconocimiento militar"
"height measurements","medidas de altura"
"wind patterns","patrones de viento"
"delta formation","formaci¢n de un delta"
"the atlas","el atlas"
"economic cartography","cartograf¡a economica"
"economic data","informaci¢n econ¢mica"
"rainfall","lluvia"
"map projections","proyecciones de mapas"
"map accuracy","precision del mapa"
"climate zones","zonas clim ticas"
"the water cycle","el ciclo del agua"
"disease and fouled water","enfermedad y agua contaminada"
"physical examination","examen f¡sico"
"autopsy","autopsia "
"prognosis","Pron¢stico"
"animal remedies","remedios animales"
"bandages","vendas"
"disease classification","clasificaci¢n de enfermedades"
"endemic disease","enfermedad endemica"
"acute and chronic conditions","Condiciones Graves y Cr¢nicas"
"toxicology","toxicolog¡a"
"epidemic disease","enfermedad epid‚mica"
"relapse","Reca¡da"
"paroxysm","paroxismo"
"exacerbation","exacerbaci¢n"
"convalescence","convalecencia"
"fracture treatment","tratamiento de fractura"
"traumatic injuries","lesiones traum ticas"
"the traction bench","el banco de tracci¢n"
"excision","excisi¢n"
"the orthopedic cast","la escayola ortop‚dica"
"fracture immobilization","inmovilizaci¢n de fractura"
"incision","corte"
"lithotomy surgery","cirug¡a de litotom¡a"
"tracheotomy surgery","cirug¡a de traqueotom¡a"
"scraping","raspado"
"suturing","sutura"
"probing","sondeo"
"draining","drenando"
"ligature","ligadura"
"surgical models","modelos quirurgicos"
"mud bags as surgical models","bolsas de barro como modelos quir£rgicos"
"plants as surgical models","plantas como modelos quir£rgicos"
"animals as surgical models","animales como modelos quir£rgicos"
"specialized surgical instruments","instrumentos quir£rgicos especializados"
"forceps","pinzas"
"the scalpel","el bistur¡"
"surgical scissors","tijeras quir£rgicas"
"surgical needles","agujas quir£rgicas"
"bodily fluids","fluidos corporales"
"anatomical studies","estudios anat¢micos"
"eye anatomy","anatom¡a del ojo"
"reaction time","tiempo de reacci¢n"
"the nervous system","el sistema nervioso"
"nerves","nervios"
"blood vessels","vasos sangu¡neos"
"the voice","la voz"
"muscles","m£sculos"
"hospitals","hospitales"
"mental illnesses","enfermedad mental"
"hospital staff","personal de hospital"
"medical schools","escuelas de medicina"
"hospital laboratories","laboratorios hospitalarios"
"hospital wards","salas de hospital"
"asylums","asilos"
"shadow clocks","relojes de sombra"
"conical water clocks","relojes de agua c¢nicos"
"water clock reservoirs","dep¢sitos de reloj de agua"
"the astrarium","el astrario"
"the hourglass","El reloj de arena"
"mechanical clocks","relojes mec nicos"
"the pulley","la polea"
"the wheel-and-axle","el torno"
"the screw","el tornillo"
"the windlass","el molinete"
"the lever","la palanca"
"the wedge","la cu¤a"
"the straight-beam balance","la balanza de viga recta"
"the tumbler lock","la cerradura del vaso"
"the warded lock","la cerradura protegida"
"gears","engranajes"
"the padlock","el candado"
"the water-powered sawmill","el aserradero impulsado por agua"
"the crankshaft","el cige¤al"
"the camshaft","el  rbol de levas"
"the chariot odometer","el od¢metro del carro"
"the differential gear","el engranaje diferencial"
"the mechanical compass","el comp s mec nico"
"chain drives","transmisiones por cadena"
"combination locks","cerraduras de combinaci¢n"
"the siphon","el sifon"
"the balance wheel","el volante regulador"
"the verge escapement","el borde del escape"
"valves","v lvulas"
"the force pump","la bomba de fuerza"
"the crystal lens","el lente de cristal"
"water-filled spheres","esferas llenas de agua"
"the glass lens","la lente de cristal"
"the camera obscura","la c mara oscura"
"the parabolic mirror","el espejo parab¢lico"
"light and color","Luz y color"
"models and templates","modelos y plantillas"
"refraction","refracci¢n"
"lamination","laminaci¢n"
"the armillary sphere","la esfera armilar"
"the astrolabe","el astrolabio"
"the dioptra","la dioptra"
"the spherical astrolabe","el astrolabio esf‚rico"
"the water-powered trip hammer","el martillo de viaje hidr ulico"
"the orrery","el planetario"
"mural instruments","instrumentos murales"
"double-acting piston bellows","fuelle de pist¢n de doble acci¢n"
"water displacement","desplazamiento de agua"
"the height of the atmosphere","la altura de la atm¢sfera"
"the bellows","los fuelles"
"the crank","la manivela"
"the piston","el pist¢n"
"the water-powered piston bellows","el fuelle de pist¢n de agua"
"the trip hammer","el martillo de mazo"
"the water wheel","la rueda hidr ulica"
"Multigrasp","Multi-agarre"
"*START REGION SAVE*","*INICIAR GUARDAR REGIàN*"
"*START REGION DIM SAVE*","*INICIAR REGIàN DIM GUARDAR*"
"*START REGION MAP SAVE*","*INICIAR MAPA DE REGIàN GUARDAR*"
"*START REGION GEOLOGY SAVE*","*INICIAR REGIàN GEOLOGÖA GUARDAR*"
"*START REGION SUBREGION SAVE*","*INICIAR REGIàN SUBREGIàN GUARDAR*"
"No available traction bench","No hay banco disponible"
"snaps ","chasquidos "
"Not enough peaks: ","No hay suficientes picos: "
"Not enough medium altitudes","No hay suficientes altitudes medias"
"Not enough medium altitudes after shift down","No hay suficientes altitudes medias despu‚s del cambio hacia abajo"
"Not enough low altitudes after shift down: ","No hay suficientes altitudes bajas despu‚s de bajar el cambio: "
"Not enough high altitudes after shift up","No hay suficientes alturas elevadas despu‚s del cambio hacia arriba"
"Not enough medium altitudes after shift up","No hay suficientes altitudes medias despu‚s del cambio hacia arriba"
"Not enough partial edge oceans","No hay suficientes oc‚anos de borde parcial"
"Not enough complete edge oceans","No hay suficientes oc‚anos de borde completo"
"Rainfall not evenly distributed: ","Precipitaci¢n no distribuida uniformemente: "
"Flat/rough areas not evenly distributed: ","µreas planas/ speras no distribuidas uniformemente: "
"Savagery not evenly distributed","El salvajismo no se distribuye uniformemente"
"Volcanism not evenly distributed","Volcanismo no distribuido uniformemente"
"Initial swamp square count fails by ","El conteo inicial de cuadrados de pantano falla por "
"Initial desert square count fails by ","La cuenta inicial del desierto falla por "
"Initial forest square count fails by ","El conteo de cuadrados de bosque inicial falla por "
"Initial mountain square count fails by ","El conteo inicial de cuadrados de monta¤a falla por "
"Initial ocean square count fails by ","El recuento inicial de cuadrados del oc‚ano falla por "
"Initial tundra square count fails by ","El conteo de cuadrados de tundra inicial falla por "
"Initial grassland square count fails by ","El conteo inicial de cuadrados de pastizales falla por "
"Initial hill square count fails by ","El conteo de cuadrados de la colina falla por "
"Not enough volcanos","No hay suficientes volcanes"
"Swamp region count fails by ","El recuento de la regi¢n pantanosa falla por "
"Desert region count fails by ","El recuento de la regi¢n des‚rtica falla por "
"Forest region count fails by ","El recuento de la regi¢n boscosa falla por "
"Mountain region count fails by ","Conde de la regi¢n de monta¤a fracasa por "
"Ocean region count fails by ","El recuento de la regi¢n oce nica falla por "
"Glacier region count fails by ","El recuento de la regi¢n glaciar falla por "
"Tundra region count fails by ","El recuento de la regi¢n de la tundra falla por "
"Grassland region count fails by ","El recuento de la regi¢n de pastizales falla por "
"Hill region count fails by ","El recuento de la regi¢n monta¤osa falla por "
"Not enough river start points before erosion","No hay suficientes puntos de partida del r¡o antes de la erosi¢n"
"Too many distinct subregions (over by ","Demasiadas subregiones distintas (por "
" will be logged after parameter dump."," se registrar  despu‚s del volcado de par metros."
"Not enough medium altitude locations after erosion","Faltan lugares de mediana altitud despu‚s de la erosi¢n"
"Not enough low altitude locations after erosion: ","No hay suficientes ubicaciones de baja altitud despu‚s de la erosi¢n: "
"Not enough high altitude locations after erosion","No hay suficientes lugares de gran altitud despu‚s de la erosi¢n"
"Not enough mountain cave locations","No hay suficientes ubicaciones de cuevas de monta¤a"
"Not enough mountain cave locations after location check","No hay suficientes ubicaciones de cuevas de monta¤a despu‚s del control"
"Not enough low-lying cave locations","No hay suficientes cuevas bajas"
"Not enough low-lying cave locations after location check","No hay suficientes ubicaciones de cuevas bajas despu‚s de la verificaci¢n"
"Not enough entity placement locations","No hay suficientes ubicaciones para la ubicaci¢n de entidades"
"No controllable entity definitions available","No hay definiciones de entidades controlables disponibles"
"Did not place controllable entity","No coloc¢ entidad controlable"
"Placed farming entity without orchard crops","Entidad granjera colocada sin cultivos de huerto"
"Placed farming entity without non-orchard crops","Entidad agropecuaria colocada sin cultivos no hort¡colas"
"Final swamp region count fails by ","El recuento final de la regi¢n pantanosa falla por "
"Final desert region count fails by ","El recuento final del desierto falla por "
"Final forest region count fails by ","El recuento final de la regi¢n forestal fall¢ por "
"Final mountain region count fails by ","La cuenta final de la regi¢n monta¤osa falla por "
"Final ocean region count fails by ","El conteo final de la regi¢n oce nica falla por "
"Final glacier region count fails by ","El recuento final de la regi¢n glaciar falla por "
"Final tundra region count fails by ","La cuenta final de la tundra falla por "
"Final grassland region count fails by ","El recuento final de la regi¢n de pastizales falla por "
"Final hill region count fails by ","El recuento final de la regi¢n de la colina falla por "
"Created in DF ","Creado en DF "
"just generated corrupt feature map square","Acabo de generar un cuadrado de mapa de caracter¡sticas corrupto"
"Worship List","Lista de culto"
" List"," Lista"
" (b."," (b."
", Reign Began: ",", Comenz¢ el reinado: "
", Inherited",", Heredado"
" from mother"," de madre"
" from father"," de padre"
" from paternal grandmother"," de la abuela paterna"
" from paternal grandfather"," del abuelo paterno"
" from maternal grandmother"," de la abuela materna"
" from maternal grandfather"," del abuelo materno"
"Married","Casado"
", *** New Line",", *** Nueva Linea"
", *** Original Line",", *** L¡nea original"
"Divorced","Divorciado"
"Never Married","Nunca se casado"
" Child"," Ni¤o"
" (out-lived)"," (fuera de vida)"
" (out-lived "," (sobrevivido "
" of them)"," de ellos)"
" -- Ages"," -- Siglos"
" at death"," en su muerte"
"(d. ","(d. "
"No Children","Sin Hijos"
"Worshipped ","adorado "
"Worships ","Adora "
"Civilized World Population","Poblaci¢n del Mundo Civilizado"
"Parent Civ: ","Civilizaci¢n de padres: "
"Unnumbered ","Incontable "
"Unnumbered","Incontable"
"visitor","visitante"
"outcast","marginado"
"Unnumbered animated ","animado sin numerar "
" animated "," animado "
"Outdoor Animal Populations (Including Undead)","Poblaciones Animales Exteriores (Incluyendo no-muertos)"
"Underground Animal Populations (Including Undead)","Poblaciones de animales subterr neos (incluidos los no muertos)"
"Midmap creation failure on graphical map export: ","Error en la creaci¢n del mapa mental en la exportaci¢n de mapas gr ficos: "
"Elevation negative on graphical map export (main)","Elevaci¢n negativa en la exportaci¢n de mapas gr ficos (principal)"
"Elevation negative on graphical map export (midmap)","Elevaci¢n negativa en la exportaci¢n de mapas gr ficos (mapa medio)"
"The Arena","La Arena"
"Test Seed ","Semilla de prueba "
"Cannot generate random creatures -- missing creature variation ","No se pueden generar criaturas aleatorias -- falta variaci¢n de criatura "
"Inappropriate Waterlevel Biome Choice (2)","Elecci¢n inadecuada del bioma del nivel del agua (2)"
"Inappropriate Waterlevel Biome Choice (4)","Elecci¢n inapropiada del bioma del nivel del agua (4)"
"Woe unto any that disturb the resting place of ","­Ay de cualquiera que perturbe el lugar de descanso de "
" The "," El "
" is with "," esta con "
" but"," pero"
" watches still"," los relojes siguen"
"Imported Food","Comida importada"
"Imported Clothing","Tela importada"
"Imported Goods","Productos importados"
"Woven Clothing","Ropa Tejida"
"Leather Clothing","Ropa de Cuero"
"Metal Crafts","Artesan¡as de Metal"
